Угол, град - ДН	Сигнал детектора, о.е. - ДН	
-37	0.0254553	
-37	0.0277399	
-37	0.0327022	
-37	0.0295683	
-37	0.0297235	
-36	0.0378805	
-36	0.0435756	
-36	0.0451134	
-36	0.0452732	
-36	0.045292	
-35	0.0448866	
-35	0.0432107	
-35	0.0397856	
-35	0.039453	
-35	0.0412708	
-35	0.0413707	
-34	0.0385991	
-34	0.0340134	
-34	0.0350737	
-34	0.0418657	
-34	0.0403382	
-33	0.0399728	
-33	0.0415202	
-33	0.0419044	
-33	0.037223	
-33	0.0386613	
-33	0.0428578	
-32	0.0450432	
-32	0.0490443	
-32	0.0468805	
-32	0.0422013	
-32	0.0405126	
-32	0.0477575	
-31	0.0443761	
-31	0.0381643	
-31	0.0355824	
-31	0.0359298	
-31	0.0420746	
-30	0.0431214	
-30	0.0416055	
-30	0.0414279	
-30	0.0445665	
-30	0.0406943	
-30	0.0304307	
-29	0.0347257	
-29	0.0391221	
-29	0.0391856	
-29	0.0291796	
-29	0.0391316	
-28	0.0400826	
-28	0.0317214	
-28	0.0259732	
-28	0.0352512	
-28	0.035787	
-28	0.0305276	
-27	0.0398564	
-27	0.0319854	
-27	0.0299877	
-27	0.0285835	
-27	0.0301328	
-26	0.0354199	
-26	0.035987	
-26	0.0298683	
-26	0.0316259	
-26	0.0332286	
-26	0.0317764	
-25	0.0364411	
-25	0.0319734	
-25	0.0346952	
-25	0.0309923	
-25	0.0335264	
-24	0.0385253	
-24	0.0349517	
-24	0.0351196	
-24	0.0371144	
-24	0.0405946	
-24	0.0386343	
-23	0.0428639	
-23	0.0454076	
-23	0.048403	
-23	0.0507757	
-23	0.0524157	
-22	0.0542927	
-22	0.0586633	
-22	0.0602395	
-22	0.0655863	
-22	0.0666623	
-22	0.0685916	
-21	0.070227	
-21	0.0691783	
-21	0.068221	
-21	0.0717556	
-21	0.0797982	
-21	0.0792571	
-20	0.0805166	
-20	0.0838574	
-20	0.0827349	
-20	0.0899693	
-20	0.101414	
-19	0.110245	
-19	0.120227	
-19	0.120618	
-19	0.126756	
-19	0.134453	
-19	0.139174	
-18	0.14672	
-18	0.155873	
-18	0.16332	
-18	0.170943	
-18	0.174138	
-17	0.183827	
-17	0.182264	
-17	0.199886	
-17	0.203886	
-17	0.223112	
-17	0.240626	
-16	0.257433	
-16	0.26222	
-16	0.27911	
-16	0.300135	
-16	0.321499	
-15	0.343324	
-15	0.364887	
-15	0.386145	
-15	0.401742	
-15	0.415798	
-15	0.439507	
-14	0.461196	
-14	0.483621	
-14	0.506013	
-14	0.521168	
-14	0.535745	
-14	0.566809	
-13	0.600439	
-13	0.6225	
-13	0.650991	
-13	0.66935	
-13	0.701138	
-12	0.725541	
-12	0.747993	
-12	0.779289	
-12	0.808044	
-12	0.829811	
-12	0.854555	
-11	0.878444	
-11	0.893372	
-11	0.915538	
-11	0.944684	
-11	0.971682	
-10	1.00829	
-10	1.03721	
-10	1.06213	
-10	1.1028	
-10	1.11065	
-10	1.13104	
-9	1.16389	
-9	1.19136	
-9	1.22608	
-9	1.26227	
-9	1.29378	
-8	1.3308	
-8	1.36787	
-8	1.40103	
-8	1.44603	
-8	1.46538	
-8	1.47783	
-7	1.51899	
-7	1.55037	
-7	1.57133	
-7	1.59479	
-7	1.64243	
-6	1.67662	
-6	1.71566	
-6	1.72764	
-6	1.78046	
-6	1.80247	
-6	1.80843	
-5	1.86082	
-5	1.87871	
-5	1.9127	
-5	1.95769	
-5	1.9658	
-4	1.98622	
-4	2.02179	
-4	2.04279	
